Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Chap03/InsertionSortSt.rs                        17                 0   100.00%           1                 0   100.00%          10                 0   100.00%           0                 0         -
Chap05/MappingStEph.rs                           87                30    65.52%          15                 6    60.00%          43                17    60.47%           0                 0         -
Chap05/RelationStEph.rs                          77                27    64.94%          13                 5    61.54%          43                12    72.09%           0                 0         -
Chap05/SetStEph.rs                              295               129    56.27%          28                13    53.57%         164                72    56.10%           0                 0         -
Chap06/DirGraphMtEph.rs                         451               269    40.35%          37                20    45.95%         222               146    34.23%           0                 0         -
Chap06/DirGraphStEph.rs                         169                30    82.25%          22                 5    77.27%          77                16    79.22%           0                 0         -
Chap06/LabDirGraphMtEph.rs                      233               125    46.35%          21                10    52.38%         135                75    44.44%           0                 0         -
Chap06/LabDirGraphStEph.rs                      116                16    86.21%          15                 2    86.67%          71                 9    87.32%           0                 0         -
Chap06/LabUnDirGraphMtEph.rs                    217               139    35.94%          24                12    50.00%         117                77    34.19%           0                 0         -
Chap06/LabUnDirGraphStEph.rs                    148                50    66.22%          21                 9    57.14%          79                18    77.22%           0                 0         -
Chap06/UnDirGraphMtEph.rs                       271               248     8.49%          30                24    20.00%         126               120     4.76%           0                 0         -
Chap06/UnDirGraphStEph.rs                       148               111    25.00%          24                18    25.00%          60                45    25.00%           0                 0         -
Chap06/WeightedDirGraphMtEphFloat.rs            213               169    20.66%          16                13    18.75%         116                93    19.83%           0                 0         -
Chap06/WeightedDirGraphMtEphInt.rs              208               164    21.15%          15                12    20.00%         100                77    23.00%           0                 0         -
Chap06/WeightedDirGraphStEphFloat.rs            187               138    26.20%          19                15    21.05%          99                71    28.28%           0                 0         -
Chap06/WeightedDirGraphStEphInt.rs              130                81    37.69%          12                 8    33.33%          63                35    44.44%           0                 0         -
Chap06/WeightedUnDirGraphMtEphFloat.rs          162               162     0.00%          13                13     0.00%          85                85     0.00%           0                 0         -
Chap06/WeightedUnDirGraphMtEphInt.rs            157               157     0.00%          12                12     0.00%          72                72     0.00%           0                 0         -
Chap06/WeightedUnDirGraphStEphFloat.rs          155               155     0.00%          15                15     0.00%          81                81     0.00%           0                 0         -
Chap06/WeightedUnDirGraphStEphInt.rs            127               127     0.00%          10                10     0.00%          57                57     0.00%           0                 0         -
Chap11/FibonacciMt.rs                            12                 0   100.00%           3                 0   100.00%           8                 0   100.00%           0                 0         -
Chap12/Exercise12_1.rs                           75                14    81.33%          10                 4    60.00%          43                 4    90.70%           0                 0         -
Chap12/Exercise12_2.rs                           27                 0   100.00%           3                 0   100.00%          11                 0   100.00%           0                 0         -
Chap12/Exercise12_5.rs                           87                 6    93.10%           8                 1    87.50%          58                 6    89.66%           0                 0         -
Chap17/MathSeq.rs                               210                28    86.67%          29                 7    75.86%          98                15    84.69%           0                 0         -
Chap18/ArraySeq.rs                              436               113    74.08%          45                15    66.67%         186                40    78.49%           0                 0         -
Chap18/ArraySeqMtEph.rs                         479               153    68.06%          39                13    66.67%         223                66    70.40%           0                 0         -
Chap18/ArraySeqMtPer.rs                         521               239    54.13%          41                20    51.22%         230               103    55.22%           0                 0         -
Chap18/ArraySeqStEph.rs                         382                63    83.51%          38                 8    78.95%         160                20    87.50%           0                 0         -
Chap18/ArraySeqStPer.rs                         419                15    96.42%          33                 2    93.94%         165                 3    98.18%           0                 0         -
Chap18/LinkedListStEph.rs                       512                37    92.77%          36                 5    86.11%         270                13    95.19%           0                 0         -
Chap18/LinkedListStPer.rs                       516                48    90.70%          35                 8    77.14%         267                22    91.76%           0                 0         -
Chap19/ArraySeqMtEph.rs                         336                38    88.69%          25                 7    72.00%         165                24    85.45%           0                 0         -
Chap19/ArraySeqMtEphSlice.rs                    551               292    47.01%          44                20    54.55%         266               138    48.12%           0                 0         -
Chap19/ArraySeqMtPer.rs                         329                67    79.64%          32                11    65.62%         169                45    73.37%           0                 0         -
Chap19/ArraySeqStEph.rs                         254                56    77.95%          26                 8    69.23%         128                26    79.69%           0                 0         -
Chap19/ArraySeqStPer.rs                         211                41    80.57%          28                 6    78.57%         110                22    80.00%           0                 0         -
Chap21/Algorithm21_1.rs                          18                 2    88.89%           3                 0   100.00%          13                 1    92.31%           0                 0         -
Chap21/Algorithm21_2.rs                          26                 0   100.00%           4                 0   100.00%          25                 0   100.00%           0                 0         -
